south_arden;South Arden;x
north_arden;North Arden;x
ciric;Ciric;x
palish;Palish;x
ollin;Ollin;x
sillesian;Sillesian;x
aelin;Aelin;x
filn;Filn;x
futn;Futn;x
koullan;Koullan;x
buldashi;Buldashi;x
celian;Celian;x
gladan;Gladan;x
south_bosnark;South Bosnark;x
north_bosnark;North Bosnark;x
pasan;Pasan;x
darren;Darren;x
dirven;Dirven;x
ertan;Ertan;x
docen;Docen;x
iquan;Iquan;x
odparshing;Odparshing;x
memphin;Memphin;x
antlanin;Antlanin;x
ethior;Ethior;x
sudparshing;Sudparshing;x
wostciric;Wostciric;x
walnf;Walnf;x
wif;Wif;x
sudirk;Sudirk;x
warf;Warf;x
winf;Winf;x
saqui;Saqui;x
sakirn;Sakirn;x
sudsan;Sudsan;x
odsan;Odsan;x
furodsan;Furodsan;x
inlandar;Inlandar;x
odinlandar;Odinlandar;x
wool_factory;Wool Fabric;x
wool_fabric_factory;Wool Fabric Factory;x
C53;Sillysia;x
C53_ADJ;Sill;x
world_bank_rp_nerf;World Bank Nerf;x
BAN;World Bank;x
BAN_ADJ;World Bank;x
nv_mercantilism;Mercantilism;x
nv_fanatacism;Fanatacism;x
nv_statism;Statism;x
nv_tribalism;Tribalism;x
nv_regionalism;Regionalism;x
land_reform_two;Extensive land reform;x
admin_reform_two;Extensive admin reform;x
education_reform_two;Extensive school reform;x
transport_improv_two;Advanced;x
no_western_science;Reject foreign investment;x
yes_western_science;Accept foreign investment;x
western_science_two;Promote foreign investment;x
switch_to_regionalism_title;Embrace the Ideal of Regionalism;x
switch_to_fanatacism_title;Embrace the Ideal of Fanatacism;x
switch_to_mercantilism_title;Embrace the Ideal of Mercantilism;x
switch_to_statism_title;Embrace the Ideal of Statism;x
switch_to_tribalism_title;Embrace the Ideal of Tribalism;x
switch_to_regionalism_desc;§YThe modifiers for this NV are:§W\n§GInfamy -0.10\nInfluence +50%\nDiplomatic points +200%\nCB Speed +50%\nMobilization size +1%§W;x
switch_to_fanatacism_desc;§YThe modifiers for this NV are:§W\n§GOrganization regain +5%\nLeadership Modifier: +100%\nLand unit experience +5\nArmy tech research +5%\nMobilization size +1%§W;x
switch_to_mercantilism_desc;§YThe modifiers for this NV are:§W\n§GFactory throughput +15%\nCommerce tech research +5%\nIndustry tech research +5%\nMobilization size +1%§W;x
switch_to_statism_desc;§YThe modifiers for this NV are:§W\n§GMonthly war exhaustion -0.5\nAdministration efficiency +15%\nMobilization size +3%§W;x
switch_to_tribalism_desc;§YThe modifiers for this NV are:§W\n§GRuling party support +25%\nPolitical awareness -20%\nSocial reform desire -20%\nMilitancy -0.01\nConsciousness -0.01\nMobilization size +1%§W;x
